序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(202112),净利润(202112),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
230,000678,襄阳轴承,襄阳汽车轴承股份有限公司,湖北,襄阳市,--,--,3515,1997-01-06,--,,汽车零部件,汽车零部件、机器设备,从事轴承及其零部件的生产、科研、销售及相关业务。
231,000679,大连友谊,大连友谊(集团)股份有限公司,辽宁,大连市,--,--,467,1997-01-24,--,,百货,商品零售、房地产销售,以零售业、酒店业、房地产业为主，其它策略性投资为补充。
232,000680,山推股份,山推工程机械股份有限公司,山东,济宁市,91.60亿,2.11亿,5124,1997-01-22,--,,工程机械,工业产品销售、商业产品销售,建筑工程机械、矿山机械、农田基本建设机械、收获机械及配件的研究、开发、制造、销售、租赁、维修及技术咨询服务。
233,000681,视觉中国,视觉(中国)文化发展股份有限公司,江苏,常州市,--,--,483,1997-01-21,--,,网络媒体,互联网传媒,提供优质正版图片、视频等视觉内容及增值服务
234,000682,东方电子,东方电子股份有限公司,山东,烟台市,--,--,5665,1997-01-21,--,,电气自控设备,信息技术相关产业、非信息技术相关产业,电子及通信设备开发、生产、销售及咨询服务。
235,000683,远兴能源,内蒙古远兴能源股份有限公司,内蒙古,鄂尔多斯市,121.49亿,56.86亿,4467,1997-01-31,--,,纯碱,天然碱法制纯碱、小苏打、煤炭、煤制尿素、天然气制甲醇,天然碱法制纯碱和小苏打、煤炭、煤制尿素、天然气制甲醇等产品的生产和销售。
236,000685,中山公用,中山公用事业集团股份有限公司,广东,中山市,--,--,4606,1997-01-23,--,,污水处理,供水、污水、废液处理、市场租赁业、物业管理、客运服务、垃圾处理及发电收入、工程安装、环卫、利息,为保水务、固废处理、环卫服务、工程建设、金融与股权投资、市场运营、港口客运等领域。
237,000686,东北证券,东北证券股份有限公司,吉林,长春市,--,--,2858,1997-02-27,--,,证券,证券经纪、证券投资咨询、证券承销与保荐、融资融券、证券投资基金代销、代销金融产品业务,大零售业务、大投行业务、投资与销售交易业务和资产管理业务四个板块。
238,000687,*ST华讯,华讯方舟股份有限公司,河北,保定市,--,--,122,1997-02-21,--,,通信终端设备,军事通信及配套产品,军事通信应用领域相关产品及系统的研发、生产和销售。
239,000688,国城矿业,国城矿业股份有限公司,重庆,重庆市,17.09亿,1.88亿,1259,1997-01-20,--,,铅锌,有色金属采选业务、工业硫酸业务,有色金属采选业务及工业硫酸生产业务。
240,000690,宝新能源,广东宝丽华新能源股份有限公司,广东,梅州市,--,--,1312,1997-01-28,--,,火电,新能源发电、金融投资,新能源发电、金融投资。
241,000691,亚太实业,甘肃亚太实业发展股份有限公司,甘肃,兰州市,--,--,444,1997-02-28,--,,房地产开发,商品房、化工产品,精细化工产品的研发、生产及销售。
242,000692,惠天热电,沈阳惠天热电股份有限公司,辽宁,沈阳市,--,--,2426,1997-02-27,--,,其他发电,供热、设计,民用和工业用供热和供汽。
243,000695,滨海能源,天津滨海能源发展股份有限公司,天津,天津市,--,--,933,1997-02-18,--,,其他发电,印刷业务,包装印刷业务。
244,000697,炼石航空,炼石航空科技股份有限公司,陕西,咸阳市,--,--,1714,1997-03-25,--,,稀有金属,钼精粉、商用航空部件,航空精密零部件、结构件的生产和销售。
245,000698,沈阳化工,沈阳化工股份有限公司,辽宁,沈阳市,101.32亿,1.07亿,2621,1997-02-20,--,,石油加工,石油化工、氯碱化工、聚醚化工、其他,从事氯碱、石油、聚醚多元醇等化工产品的生产和销售。
246,000700,模塑科技,江南模塑科技股份有限公司,江苏,无锡市,--,--,5810,1997-02-28,--,,汽车零部件,汽车装饰件、房地、铸件、医疗,从事汽车保险杠等零部件、塑料制品、模具、模塑高科技产品的开发、生产和销售。
247,000701,厦门信达,厦门信达股份有限公司,福建,厦门市,--,--,5354,1997-02-26,--,,贸易,汽车经销业务、供应链业务、信息科技板块,汽车经销业务、供应链业务、物联网业务及光电业务。
248,000702,正虹科技,湖南正虹科技发展股份有限公司,湖南,岳阳市,--,--,1268,1997-03-18,--,,饲料,饲料、饲养、其他,研发生产销售饲料产品。
249,000703,恒逸石化,恒逸石化股份有限公司,广西,北海市,--,--,18154,1997-03-28,--,,涤纶,石化、聚酯、贸易,各类化工品、油品、化纤产品的研发、生产和销售。
250,000705,浙江震元,浙江震元股份有限公司,浙江,绍兴市,--,--,1938,1997-04-10,--,,医药商业,医药,从事药品生产、销售。
251,000707,双环科技,湖北双环科技股份有限公司,湖北,孝感市,30.64亿,4.23亿,1192,1997-04-15,--,,纯碱,联碱及其他化工产品、商品房销售、物业收入,联碱产品的生产与销售。
252,000708,中信特钢,中信泰富特钢集团股份有限公司,湖北,黄石市,973.32亿,79.61亿,23238,1997-03-26,--,,特钢,合金钢棒材、合金钢线材、特种钢板、特种无缝钢管、其他业务,专业化特殊钢材料制造。
253,000709,河钢股份,河钢股份有限公司,河北,石家庄市,--,--,35336,1997-04-16,--,,普钢,板材、棒材及型材、线材、带钢、钢坯、钒产品、气体、水电,黑色金属的冶炼和加工。
254,000710,贝瑞基因,成都市贝瑞和康基因技术股份有限公司,四川,成都市,--,--,1496,1997-04-22,--,,汽车零部件,基因检测、设备、试剂,以高通量测序技术为基础的基因检测服务和设备、试剂销售。
255,000711,京蓝科技,京蓝科技股份有限公司,黑龙江,哈尔滨市,--,--,1078,1997-04-11,--,,节水灌溉,生态节水运营服务业务、园林环境科技服务业务、土壤修复运营服务业务、环境治理技术服务业务,智慧生态运营服务、清洁能源服务综合在内的生态环保业务。
256,000712,锦龙股份,广东锦龙发展股份有限公司,广东,清远市,10.06亿,-1.41亿,1422,1997-04-15,--,,证券,证券公司业务,证券公司业务
257,000713,丰乐种业,合肥丰乐种业股份有限公司,安徽,合肥市,--,--,1204,1997-04-22,--,,种子,杂交水稻种子、杂交玉米种子、常规水稻种子、瓜菜种子、小麦种子、油菜种子、棉花种子、除草剂、杀虫剂、杀菌剂、种衣剂、天然薄荷脑、薄荷素油,种子和农化、香料产业。
258,000715,中兴商业,中兴-沈阳商业大厦(集团)股份有限公司,辽宁,沈阳市,8.68亿,1.36亿,1335,1997-05-08,--,,百货,零售、服务费,经营百货商场、连锁超市，停车场服务，非居住房地产租赁，普通货物仓储服务，初级农产品加工销售等。
259,000716,黑芝麻,南方黑芝麻集团股份有限公司,广西,南宁市,--,--,2170,1997-04-18,--,,植物蛋白饮料,冲调系列产品、饮料系列产品、养生系列产品、休闲系列产品,生产销售黑芝麻系列及其他食品、饮料，从事物流大宗商品及农产品贸易、农产品初加工及仓储、装卸、物流服务、电商服务等。
260,000717,韶钢松山,广东韶钢松山股份有限公司,广东,韶关市,--,--,6058,1997-05-08,--,,普钢,特钢棒材、工业线材、中厚板材、建筑用材,制造、加工、销售钢铁冶金产品、金属制品、焦炭及煤化工产品等。
261,000718,苏宁环球,苏宁环球股份有限公司,吉林,吉林市,--,--,777,1997-04-08,--,,房地产开发,房地产业、建筑业、酒店业、文化创意业,房地产开发。
262,000719,中原传媒,中原大地传媒股份有限公司,河南,郑州市,--,--,14172,1997-03-31,--,,平面媒体,出版业务、发行业务、物资销售业务,从事出版物的编辑、生产和市场推广，通过形式多样、门类齐全的出版产品，为广大消费者提供知识、信息和精神文化需求服务。
263,000720,新能泰山,山东新能泰山发电股份有限公司,山东,泰安市,--,--,884,1997-05-09,--,,火电,房屋销售、电缆、供应链、租赁及物业,产业园开发、综合资产运营及大宗商品供应链。
264,000721,西安饮食,西安饮食股份有限公司,陕西,西安市,--,--,3338,1997-04-30,--,,餐饮,餐饮服务、生产制造、租赁,传统餐饮服务和工业化食品的生产及销售。
265,000722,湖南发展,湖南发展集团股份有限公司,湖南,长沙市,4.78亿,1.18亿,285,1997-05-22,--,,水电,电力、砂石、健康产业,能源、健康养老及砂石资源。
266,000723,美锦能源,山西美锦能源股份有限公司,山西,太原市,--,--,4106,1997-05-15,--,,焦炭,焦化产品及副产品、其他,煤炭、焦化、天然气、氢燃料电池汽车为主的新能源汽车等商品的生产销售。
267,000725,京东方A,京东方科技集团股份有限公司,北京,北京市,2193.10亿,304.32亿,79461,2001-01-12,--,,显示器件,显示事业、智慧系统创新事业、智慧医工事业、传感器及解决方案事业,显示器件业务、智慧系统产品业务、智慧健康服务业务。
268,000726,鲁泰A,鲁泰纺织股份有限公司,山东,淄博市,--,--,22583,2000-12-25,--,,棉纺,面料产品、衬衣产品、棉花、电和汽、防火用品,生产销售中、高档衬衫用色织布面料、印染面料、成衣等产品。
269,000727,冠捷科技,冠捷电子科技股份有限公司,江苏,南京市,--,--,22689,1997-05-20,--,,显示器件,显示器、电视、影音,智能显示终端产品的研发、制造、销售与服务。
270,000728,国元证券,国元证券股份有限公司,安徽,合肥市,61.10亿,19.11亿,3688,1997-06-16,--,,证券,经纪业务、资产管理业务、证券信用业务、投行业务、自营投资业务,证券经纪业务、证券信用业务、投资银行业务、自营投资业务、资产管理业务。
271,000729,燕京啤酒,北京燕京啤酒股份有限公司,北京,北京市,--,--,27984,1997-07-16,--,,啤酒,啤酒、矿泉水、茶饮料、饲料,啤酒、饮用水、啤酒原料、茶饮料、酵母、饲料等产品的制造和销售。
272,000731,四川美丰,四川美丰化工股份有限公司,四川,德阳市,--,--,2370,1997-06-17,--,,氮肥,化学肥料、天然气、贸易,"尿素,复合肥,氮氧化物还原剂,三聚氰胺,硝酸,硝铵,包装塑料制品及LNG(液化天然气)等化工产品的制造与销售。"
273,000732,泰禾集团,泰禾集团股份有限公司,福建,福州市,--,--,6096,1997-07-04,--,,房地产开发,房地产、服务、零售,住宅地产和商业地产的开发及运营。
274,000733,振华科技,中国振华(集团)科技股份有限公司,贵州,贵阳市,--,--,6937,1997-07-03,--,,电子元件,现代服务业、整机及系统、新型电子元器件,新型电子元器件和现代服务业。
275,000735,罗牛山,罗牛山股份有限公司,海南,海口市,--,--,2750,1997-06-11,--,,畜牧养殖,生猪、肉制品、教育、商品房、冷链物流服务,生猪养殖及销售、生猪贸易、肉类加工及销售、房地产、教育等。
276,000736,中交地产,中交地产股份有限公司,重庆,重庆市,--,--,1369,1997-04-25,--,,房地产开发,房地产销售、房产租赁、物业管理,房地产开发经营与销售业务。
277,000737,北方铜业,北方铜业(山西)股份有限公司,山西,运城市,--,--,1138,1997-04-28,--,,日用化学品,无机盐系列产品,铜矿开采、铜选矿、冶炼、加工制品、含金铜精矿、阳极泥、金锭、银锭、硫酸、硒粉、铜及铜合金、高精度铜板带、高性能压延铜箔、覆铜板的生产销售。
278,000738,航发控制,中国航发动力控制股份有限公司,江苏,无锡市,41.57亿,5.15亿,7294,1997-06-26,--,,航空装备,发动机控制系统及衍生产品、国际合作、非航空产品,航空发动机控制系统及衍生产品、国际合作业务、非航空产品及其他。
279,000739,普洛药业,普洛药业股份有限公司,浙江,金华市,89.43亿,9.56亿,6133,1997-05-09,--,,化学原料药,原料药中间体、合同研发生产、制剂,原料药中间体、合同研发生产服务（CDMO）、制剂业务和进出口贸易业务。
280,000750,国海证券,国海证券股份有限公司,广西,南宁市,51.70亿,9.07亿,3902,1997-07-09,--,,证券,零售财富管理业务、企业金融服务业务、投资管理业务、销售交易与投资业务、信用业务,证券经纪、投资银行、证券自营、资产管理。
281,000751,锌业股份,葫芦岛锌业股份有限公司,辽宁,葫芦岛市,228.44亿,2.30亿,6738,1997-06-26,--,,铅锌,有色金属冶炼、有色金属贸易,有色金属锌、铅冶炼及深加工产品，同时综合回收有价金属镉、铟、金、银、铋等，并副产硫酸、硫酸锌等。
282,000752,*ST西发,西藏发展股份有限公司,西藏,拉萨市,--,--,266,1997-06-25,--,,啤酒,啤酒,生产、销售啤酒、饮料。
283,000753,漳州发展,福建漳州发展股份有限公司,福建,漳州市,--,--,1722,1997-06-26,--,,汽车销售,汽车销售、自来水生产、污水处理、工程施工、贸易、房地产开发,水务业务、汽贸业务、地产业务及工程建设。
284,000755,山西路桥,山西路桥股份有限公司,山西,太原市,--,--,397,1997-06-27,--,,其他化学原料,高速公路管理与运营,高速公路管理与运营。
285,000756,新华制药,山东新华制药股份有限公司,山东,淄博市,65.60亿,3.62亿,6533,1997-08-06,--,,化学原料药,化学原料药、制剂、医药中间体,开发、制造及销售化学原料药、制剂以及化工产品。
286,000757,浩物股份,四川浩物机电股份有限公司,四川,成都市,--,--,2341,1997-06-27,--,,汽车零部件,机械配件、整车销售、汽车后市场服务,汽车发动机曲轴生产销售、汽车及配件销售、汽车维修、汽车保险代理、汽车装饰装潢等业务。
287,000758,中色股份,中国有色金属建设股份有限公司,北京,北京市,--,--,5064,1997-04-16,--,,铅锌,承包工程、有色金属产品、冶金机械,有色金属采选与冶炼、国际工程承包。
288,000759,中百集团,中百控股集团股份有限公司,湖北,武汉市,123.31亿,-1314.16万,19182,1997-05-19,--,,超市,超市、百货,商业零售。
289,000760,斯太退,斯太尔动力股份有限公司,湖北,荆州市,--,--,30,1997-06-27,--,,汽车零部件,柴油发动机,汽车零部件制造与销售
290,000761,本钢板材,本钢板材股份有限公司,辽宁,本溪市,779.12亿,25.34亿,18858,1998-01-15,--,,普钢,汽车表面板、家电板、石油管线钢、集装箱板、船板等,有钢铁冶炼、压延加工、发电、煤化工、特钢型材、铁路、进出口贸易、科研、产品销售等。
291,000762,西藏矿业,西藏矿业发展股份有限公司,西藏,拉萨市,--,--,606,1997-07-08,--,,其他稀有小金属,采选冶、贸易,铬铁矿、锂矿的开采、加工及销售和贸易业务。
292,000766,通化金马,通化金马药业集团股份有限公司,吉林,通化市,--,--,1990,1997-04-30,--,,中药生产,中成药、化学药、原料药,医药产品的研发、生产与销售。
293,000767,晋控电力,晋能控股山西电力股份有限公司,山西,太原市,--,--,8048,1997-06-09,--,,火电,电力、热力、燃煤、检修服务、节能技术服务、技术研究服务,电力商品、热力商品生产和销售。
294,000768,中航西飞,中航西安飞机工业集团股份有限公司,陕西,西安市,327.00亿,6.53亿,25270,1997-06-26,--,,航空装备,军用飞机整机、飞机零部件、航空服务,军用大中型飞机整机、军民用航空零部件产品的研发、制造、销售、维修与服务。
295,000776,广发证券,广发证券股份有限公司,广东,广州市,342.50亿,120.55亿,13174,1997-06-11,--,,证券,投资银行、财富管理、交易及机构、投资管理,投资银行业务、财富管理业务、交易及机构业务和投资管理业务。
296,000777,中核科技,中核苏阀科技实业股份有限公司,江苏,苏州市,--,--,1156,1997-07-10,--,,基础件,阀门,工业阀门的研发、设计、制造及销售。
297,000778,新兴铸管,新兴铸管股份有限公司,河北,邯郸市,--,--,15837,1997-06-06,--,,普钢,金属制品,离心球墨铸铁管及配套管件、铸造制品、钢塑复合管、钢格板、特种钢管、钢铁冶炼及压延加工等。
298,000779,甘咨询,甘肃工程咨询集团股份有限公司,甘肃,兰州市,--,--,4236,1997-05-28,--,,毛纺,工程咨询,工程咨询技术业务
299,000780,ST平能,内蒙古平庄能源股份有限公司,内蒙古,赤峰市,--,--,6926,1997-06-06,--,,煤炭开采洗选,煤炭,煤炭生产、洗选加工、销售。
300,000782,美达股份,广东新会美达锦纶股份有限公司,广东,江门市,33.20亿,5626.37万,2475,1997-06-19,--,,锦纶,切片、纺织印染布、弹力丝,锦纶6切片和纺丝的生产、销售。
301,000783,长江证券,长江证券股份有限公司,湖北,武汉市,--,--,6364,1997-07-31,--,,证券,经纪及证券金融业务、证券自营业务、投资银行业务、资产管理业务、另类投资及私募股权投资管理业务、海外业务,提供经纪及证券金融、投资银行、资产管理、投资、海外业务等全方位综合金融服务。
302,000785,居然之家,居然之家新零售集团股份有限公司,湖北,武汉市,--,--,11239,1997-07-11,--,,百货,租赁及其管理、加盟管理、装修服务、商品销售、贷款保理利息,从事零售业务，业态主要包含现代百货、购物中心以及超市和家居卖场业务、家居建材超市业务和家装业务。
303,000786,北新建材,北新集团建材股份有限公司,北京,北京市,210.86亿,35.52亿,13590,1997-06-06,--,,其他建材,轻质建材、防水建材,为各类建筑提供：石膏板龙骨万能板矿棉板“全屋装配”室内系统、防水材料、涂料粉料砂浆系统，为客户提供绿色建筑系统解决方案。
304,000788,北大医药,北大医药股份有限公司,重庆,重庆市,--,--,787,1997-06-16,--,,生物医药,抗微生物、治疗精神障碍、调节血糖,主要从事化学药品制剂的研发、生产和销售，医药流通以及医疗服务。
305,000789,万年青,江西万年青水泥股份有限公司,江西,南昌市,--,--,6596,1997-09-23,--,,水泥,硅酸盐水泥、商品混凝土、新型墙材,从事硅酸盐水泥、商品混凝土以及新型墙材的生产和销售。
306,000790,华神科技,成都华神科技集团股份有限公司,四川,成都市,--,--,707,1998-03-27,--,,中药生产,中西成药、生物制药、钢结构制作安装服务,中西成药、生物制药的生产与销售及钢结构房屋建筑设计与施工。
307,000791,甘肃电投,甘肃电投能源发展股份有限公司,甘肃,兰州市,20.12亿,3.17亿,1836,1997-10-14,--,,水电,电力产品,水力发电、风力发电和光伏发电。
308,000792,盐湖股份,青海盐湖工业股份有限公司,青海,海西蒙古族藏族自治州,--,--,6337,1997-09-04,--,,钾肥,氯化钾、盐湖资源综合利用、化工产品、PVC、水泥、百货、碳酸锂、运输,钾肥和锂盐的开发、生产和销售
309,000793,华闻集团,华闻传媒投资集团股份有限公司,海南,海口市,--,--,652,1997-07-29,--,,平面媒体,传播与文化、数字内容服务、动漫产品及动漫服务、信息技术服务,传媒业务及文旅业务的经营。
310,000795,英洛华,英洛华科技股份有限公司,浙江,金华市,37.60亿,9791.92万,4239,1997-08-08,--,,磁性材料,稀土永磁材料与制品、电机系列产品,钕铁硼磁性材料和电机系列产品的研发、生产和销售。
311,000796,凯撒旅业,凯撒同盛发展股份有限公司,海南,三亚市,--,--,4270,1997-07-03,--,,旅游服务,航空配餐及服务、铁路配餐及服务、旅游服务、物业租赁、信息服务,旅游服务和航空、铁路餐饮服务及系统集成等。
312,000797,中国武夷,中国武夷实业股份有限公司,福建,福州市,--,--,6017,1997-07-15,--,,房地产开发,建筑产品、房地产开发产品、商业贸易、劳务、技术服务、物业管理、租赁,国内外房地产开发、国际工程承包、物业管理、国际贸易和零售业务等。
313,000798,中水渔业,中水集团远洋股份有限公司,北京,北京市,4.62亿,-8886.87万,1058,1998-02-12,--,,海洋渔业,金枪鱼、鱿鱼、秋刀鱼,远洋水产品的捕捞、储运、销售和进出口以及紫菜、海带等产品的加工及销售等。
314,000799,酒鬼酒,酒鬼酒股份有限公司,湖南,湘西土家族苗族自治州,--,--,1703,1997-07-18,--,,白酒,酒类,生产和销售白酒系列产品。
315,000800,一汽解放,一汽解放集团股份有限公司,吉林,长春市,987.51亿,39.00亿,20684,1997-06-18,--,,乘用车,商用车、乘用车、备品,商用车整车的研发、生产和销售
316,000801,四川九洲,四川九洲电器股份有限公司,四川,绵阳市,--,--,2951,1998-05-06,--,,视听器材,智能终端产品、空管产品、微波射频业务,智能终端、空管产品、微波射频的技术研发、产品制造、销售等业务。
317,000802,ST北文,北京京西文化旅游股份有限公司,北京,北京市,--,--,80,1998-01-08,--,,影视,影视及经纪、旅游、酒店服务,影视文化业务，包含电影、电视剧网剧、艺人经纪、新媒体等业务板块。
318,000803,北清环能,北清环能集团股份有限公司,四川,南充市,8.27亿,8356.52万,704,1998-03-03,--,,纺织,城乡有机废弃物的无害化处理、资源化利用与城市清洁供热,城乡有机废弃物的无害化处理及资源化利用与城市清洁供热业务。
319,000806,ST银河,北海银河生物产业投资股份有限公司,广西,北海市,--,--,2009,1998-04-16,--,,其他输变电设备,输配电及控制设备制造、电子元器件、软件开发系统集成、医药生物,电子信息产业、输配电产业、生物医药产业。
320,000807,云铝股份,云南铝业股份有限公司,云南,昆明市,416.69亿,42.12亿,11662,1998-04-08,--,,铝,电解铝、铝加工产品,铝土矿开采、氧化铝生产、铝冶炼、铝加工及铝用阳极炭素生产和销售。
321,000809,铁岭新城,铁岭新城投资控股(集团)股份有限公司,辽宁,铁岭市,--,--,157,1998-06-16,--,,房地产开发,土地一级开发、供水、污水、广告、租赁、商品销售、湿地治理、房屋租赁、供水配件销售、供水相关服务、通信管网,土地一级开发、新城区供水、污水处理、户外广告传媒、出租车运营及物资批发和零售等。
322,000810,创维数字,创维数字股份有限公司,四川,遂宁市,108.47亿,4.15亿,7634,1998-06-02,--,,机顶盒,智能终端、宽带设备、专业显示、服务运营,数字电视智能终端及软件系统与平台的研究、开发、生产、销售、运营与服务。
323,000811,冰轮环境,冰轮环境技术股份有限公司,山东,烟台市,53.83亿,3.14亿,1446,1998-05-28,--,,制冷空调设备,工商业制冷设备、制冷空调,从事低温冷冻设备、中央空调设备、节能制热设备及应用系统集成、工程成套服务、智慧服务。
324,000812,陕西金叶,陕西金叶科教集团股份有限公司,陕西,西安市,--,--,1739,1998-06-23,--,,包装印刷,烟标、烟用丝束、咀棒、社会产品、教学、互联网接入、贸易、商品房、物业管理,烟草配套产业、教育产业、房地产业、医养产业。
325,000813,德展健康,德展大健康股份有限公司,新疆,乌鲁木齐市,--,--,1132,1998-05-19,--,,生物医药,药品销售、研发销售、材料销售,药品的研发、生产和销售。
326,000815,美利云,中冶美利云产业投资股份有限公司,宁夏,中卫市,--,--,1153,1998-06-09,--,,造纸,造纸、云板块、光伏发电,文化用纸及彩色纸的生产与销售。
327,000816,智慧农业,江苏农华智慧农业科技股份有限公司,江苏,盐城市,22.82亿,6436.93万,1478,1997-08-18,--,,内燃机,内燃机及终端产品、零部件、金属矿产品、贸易产品、农业信息化,机械制造、矿业采选、国际国内贸易和现代农业生产服务。
328,000818,航锦科技,航锦科技股份有限公司,辽宁,葫芦岛市,--,--,4327,1997-10-17,--,,聚氨酯,化工、电子,半导体电子和基础化工原料。
329,000819,岳阳兴长,岳阳兴长石化股份有限公司,湖南,岳阳市,19.52亿,7261.51万,639,1997-06-25,--,,石油加工,聚合级丙烯、液化石油气、MTBE、聚丙烯树脂粉料、烷基化油,石油化工产品的开发、生产、销售。
330,000820,*ST节能,神雾节能股份有限公司,江西,南昌市,--,--,42,1998-06-30,--,,节能环保,工程咨询设计、设备销售,节能环保行业清洁冶炼业务。
331,000821,京山轻机,湖北京山轻工机械股份有限公司,湖北,荆门市,--,--,3472,1998-06-26,--,,印刷包装设备,光伏智能成套装备、包装智能成套装备,高端智能成套装备的研发、设计、制造、销售与服务。
332,000822,山东海化,山东海化股份有限公司,山东,潍坊市,58.51亿,6.05亿,4631,1998-07-03,--,,纯碱,化工产品,纯碱、溴素、氯化钙等产品的生产和销售。
333,000823,超声电子,广东汕头超声电子股份有限公司,广东,汕头市,--,--,7056,1997-10-08,--,,电子元件,印制线路板、液晶显示器、液晶触摸屏、超薄及特种覆铜板、超声电子仪器、覆铜板,印制线路板、液晶显示器、超薄及特种覆铜板、超声电子仪器的研制、生产和销售。
334,000825,太钢不锈,山西太钢不锈钢股份有限公司,山西,太原市,--,--,18786,1998-10-21,--,,普钢,不锈钢、冷轧硅钢、碳钢热轧卷板、火车轮轴钢、合金模具钢、军工钢,不锈钢及其它钢材、钢坯、钢锭、黑色金属、铁合金、金属制品的生产、销售；钢铁生产所需原辅材料的国内贸易和进出口等业务。
335,000826,启迪环境,启迪环境科技发展股份有限公司,湖北,宜昌市,--,--,80946,1998-02-25,--,,污水处理,污水处理业务、自来水业务、固体废物处理业务、再生资源处理业务、环保设备安装及技术咨询业务、市政施工、环卫服务业务,固废收集处置全产业链及水务生态综合治理领域，致力于为客户提供专业化环境治理整体解决方案。
336,000828,东莞控股,东莞发展控股股份有限公司,广东,东莞市,--,--,874,1997-06-17,--,,高速公路,交通运输辅助业务、融资租赁业务、商业保理业务、新能源汽车充电业务,交通基础设施产业、投资管理业务。
337,000829,天音控股,天音通信控股股份有限公司,江西,赣州市,--,--,3249,1997-12-02,--,,专业连锁,通信产品销售、零售电商、通信产品维修、彩票业务,智能终端分销业务、彩票业务、零售电商业务、移动转售和移动互联网业务。
338,000830,鲁西化工,鲁西化工集团股份有限公司,山东,聊城市,--,--,12511,1998-08-07,--,,氮肥,化工新材料、基础化工、化肥产品、其他业务,化肥、化工产品生产与销售，承揽工业设备制作安装。
339,000831,五矿稀土,五矿稀土股份有限公司,山西,运城市,--,--,365,1998-09-11,--,,稀土,稀土氧化物、试剂、技术服务,从事稀土氧化物生产、稀土技术研发及咨询服务等。
340,000833,粤桂股份,广西粤桂广业控股股份有限公司,广西,贵港市,30.59亿,2.84亿,3127,1998-11-11,--,,制糖,机制糖、加工贸易糖、造纸、采矿业、化工、房产销售,机制糖（白砂糖、赤砂糖）的生产和销售，纸浆和机制纸（文化纸、生活用纸原纸）的生产和销售，硫铁矿的开采、加工、销售，硫酸、试剂酸（精制硫酸）、铁矿粉（硫铁矿烧渣）和磷肥（普通过磷酸钙）的生产和销售。同时，开展食糖贸易业务。
341,000835,*ST长动,长城国际动漫游戏股份有限公司,四川,成都市,237.12万,-4.54亿,26,1999-06-25,--,,游戏,动漫产品、动漫衍生品、游戏产品、旅游服务,动漫设计、制作及发行、游戏开发及运营、创意旅游和衍生品销售。
342,000836,富通信息,天津富通信息科技股份有限公司,天津,天津市,--,--,847,1997-09-29,--,,通信传输设备,光通信网络产品、石英管材制品,从事以光纤光缆制造为核心的光通信业务和以石英管材产品为辅助的石英制品业务。
343,000837,秦川机床,秦川机床工具集团股份公司,陕西,宝鸡市,50.52亿,3.29亿,9898,1998-09-28,--,,机床设备,机床及零部件、融资租赁及商业保理、进出口贸易,研发、生产和销售齿轮磨床、螺纹磨床、外圆磨床（曲轴磨、球面磨、车轴磨）、滚齿机、车齿机、通用数控车床及加工中心、龙门式车铣镗复合加工中心、精密高效拉床、塑料机械（中空机）等高端数控装备；数控复杂刀具、高档数控系统、滚动功能部件、汽车零部件、特种齿轮箱、机器人关节减速器、螺杆转子副、精密齿轮、精密仪器仪表、精密铸件等零部件产品；提供智能制造及自动化生产线、智能机床等智能制造及核心数控技术、装备等系统集成业务。
344,000838,财信发展,财信地产发展集团股份有限公司,重庆,重庆市,--,--,579,1997-06-26,--,,房地产开发,房地产、环保板块,房地产开发和环保。
