序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(202112),净利润(202112),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
345,000839,中信国安,中信国安信息产业股份有限公司,北京,北京市,--,--,22670,1997-10-31,--,,电池,有线电视业务、增值电信业务、网络系统集成及应用软件开发业务、房地产业务,信息网络基础设施业务中的有线电视网、卫星通信网的投资建设，以及基于有线电视投资所积累用户资源而开展的增值服务等创新业务。
346,000848,承德露露,河北承德露露股份有限公司,河北,承德市,--,--,1070,1997-11-13,--,,植物蛋白饮料,植物蛋白饮料,饮料（蛋白饮料类）的开发、生产；马口铁包装罐生产与销售。
347,000850,华茂股份,安徽华茂纺织股份有限公司,安徽,安庆市,--,--,4762,1998-10-07,--,,棉纺,纺织,各类混纺纱线、织物、面料、产业用布及服装的生产与销售；投资管理。
348,000851,高鸿股份,大唐高鸿数据网络技术股份有限公司,贵州,安顺市,--,--,1173,1998-06-09,--,,信息服务,通信设备产品、计算机涉密及系统集成、信息服务业务、IT销售业务,企业信息化业务、信息服务业务、IT销售业务。
349,000852,石化机械,中石化石油机械股份有限公司,湖北,武汉市,--,--,5212,1998-11-26,--,,矿山冶金机械,石油机械设备、钻头及钻具、油气钢管,油气开采机械设备、钻头钻具、井下工具、压缩机以及油气钢管产品的设计、研发、制造、销售、租赁和一体化服务。
350,000856,冀东装备,唐山冀东装备工程股份有限公司,河北,唐山市,34.50亿,1733.72万,1760,1998-08-13,--,,其他专用机械,机械设备及备件、土建安装、维修工程、电气设备及备件、其他业务,水泥装备制造及维修业务。
351,000858,五粮液,宜宾五粮液股份有限公司,四川,宜宾市,--,--,25882,1998-04-27,--,,白酒,制造,白酒生产和销售。
352,000859,国风新材,安徽国风新材料股份有限公司,安徽,合肥市,19.10亿,2.78亿,1283,1998-11-19,--,,塑料制品,塑料薄膜、工程塑料、新型木塑建材,主要生产经营聚酰亚胺薄膜、包装膜材料、预涂膜材料、电容器用薄膜、高分子功能膜材料和电子信息用膜材料，以及木塑新材料、新能源汽车配套材料等。
353,000860,顺鑫农业,北京顺鑫农业股份有限公司,北京,北京市,--,--,4842,1998-11-04,--,,白酒,白酒、猪肉,白酒酿造与销售;种猪繁育、生猪养殖、屠宰及肉制品加工;房地产开发。
354,000861,海印股份,广东海印集团股份有限公司,广东,广州市,--,--,1126,1998-10-28,--,,物业租赁、物业管理,商业板块、百货业、酒店业、房产、金融板块,商业运营、文化娱乐及互联网金融
355,000862,银星能源,宁夏银星能源股份有限公司,宁夏,银川市,13.59亿,1.01亿,559,1998-09-15,--,,新能源发电,新能源发电、风机设备制造、提供劳务,新能源发电、新能源装备工程业务
356,000863,三湘印象,三湘印象股份有限公司,上海,上海市,30.06亿,2753.65万,454,1997-09-25,--,,房地产开发,文化演艺、房地产销售、房屋租赁,房地产开发与经营，文化旅游演艺类业务。
357,000868,安凯客车,安徽安凯汽车股份有限公司,安徽,合肥市,17.81亿,-2.83亿,2241,1997-07-25,--,,乘用车,整车,生产全系列客车和汽车零部件。
358,000869,张裕A,烟台张裕葡萄酿酒股份有限公司,山东,烟台市,--,--,2560,2000-10-26,--,,葡萄酒,葡萄酒、白兰地,生产经营葡萄酒和白兰地。
359,000875,吉电股份,吉林电力股份有限公司,吉林,长春市,131.78亿,7.85亿,4567,2002-09-26,--,,火电,电力、热力,从事火电、风电、太阳能发电、供热、工业供气的生产和销售。
360,000876,新希望,新希望六和股份有限公司,四川,成都市,--,--,95993,1998-03-11,--,,饲料,饲料、生猪、禽、食品、商贸,饲料、白羽肉禽、猪养殖、食品。
361,000877,天山股份,新疆天山水泥股份有限公司,新疆,乌鲁木齐市,1699.79亿,149.22亿,70829,1999-01-07,--,,水泥,水泥熟料、商品混凝土、骨料,水泥、熟料、商品混凝土的生产及销售。
362,000878,云南铜业,云南铜业股份有限公司,云南,昆明市,1270.58亿,12.96亿,9608,1998-06-02,--,,铜,阴极铜、硫酸、贵金属,铜的勘探、采选、冶炼，贵金属和稀散金属的提取与加工，硫化工以及贸易等领域。
363,000880,潍柴重机,潍柴重机股份有限公司,山东,潍坊市,34.11亿,1.37亿,2623,1998-04-02,--,,内燃机,通用设备制造,开发、制造和销售船舶动力和发电设备市场用30-12000马力的发动机及动力集成系统、发电机组及电力集成系统，兼顾经营柴油机零部件、船用齿轮箱配套等产品，并具有提供整套动力解决方案及电力解决方案。
364,000881,中广核技,中广核核技术发展股份有限公司,辽宁,大连市,--,--,4469,1998-09-02,--,,综合,改性高分子材料、进出口贸易、电子加速器及辐照加工,远洋运输、工程承包、房地产、国际劳务合作、进出口贸易和远洋渔业等业务；线缆用改性高分子材料、改性工程塑料、电子加速器的生产和销售以及辐照加工业务。
365,000882,华联股份,北京华联商厦股份有限公司,北京,北京市,--,--,1192,1998-06-16,--,,物业经营,租赁及物业管理、电影放映及卖品、保理服务,购物中心运营管理业务、影院运营管理业务和商业保理业务。
366,000883,湖北能源,湖北能源集团股份有限公司,湖北,武汉市,--,--,4063,1998-05-19,--,,火电,电力、天然气、煤炭、热力,能源投资、开发与管理。
367,000885,城发环境,城发环境股份有限公司,河南,郑州市,56.31亿,9.99亿,4712,1999-03-19,--,,水泥,道路通行、基础设施、服务区经营及广告、环保、环保工程承包及设备业务,"高速公路运营,水务、固体废弃物治理等城市基础设施建设，生活垃圾焚烧发电、市政污水处理、新环卫等环保领域。"
368,000886,海南高速,海南高速公路股份有限公司,海南,海口市,--,--,499,1998-01-23,--,,高速公路,房地产开发、广告业务、酒店业务、东线高速公路养护,房地产开发、交通基础设施投资建设、酒店业务。
369,000887,中鼎股份,安徽中鼎密封件股份有限公司,安徽,宣城市,--,--,19749,1998-12-03,--,,汽车零部件,汽车零部件,"液压气动密封件,汽车非轮胎橡胶制品(制动,减震除外)生产和销售。"
370,000888,峨眉山A,峨眉山旅游股份有限公司,四川,乐山市,--,--,2040,1997-10-21,--,,景区,峨眉山风景区、客运索道、宾馆酒店服务、旅行社,从事峨眉山风景区游山门票、客运索道、宾馆酒店服务以及其他相关旅游服务的经营。
371,000889,中嘉博创,中嘉博创信息技术股份有限公司,河北,秦皇岛市,--,--,4613,1997-12-18,--,,其他软件服务,行业短信、电信分成、技术开发服务、维护服务、流量、其他(工程),信息智能传输、通信网络维护和金融服务外包。
372,000890,法尔胜,江苏法尔胜股份有限公司,江苏,无锡市,--,--,348,1999-01-19,--,,金属制品,钢丝、钢丝绳,生产、销售多种用途、不同规格的钢丝、钢丝绳产品；生活垃圾渗滤液处理设备的开发、生产以及生活垃圾渗滤液处理设备的运营管理服务。
373,000892,欢瑞世纪,欢瑞世纪联合股份有限公司,重庆,重庆市,--,--,125,1999-01-15,--,,影视,电视剧及衍生品、电影及衍生品、艺人经纪、网络游戏,影视剧的制作发行、艺人经纪、游戏及影视周边衍生业务
374,000893,亚钾国际,亚钾国际投资(广州)股份有限公司,广东,广州市,8.33亿,9.09亿,1247,1998-12-24,--,,航运,钾肥、贸易,钾盐开采、钾肥生产及销售。
375,000895,双汇发展,河南双汇投资发展股份有限公司,河南,漯河市,667.98亿,48.84亿,46822,1998-12-10,--,,肉制品,高温肉制品、低温肉制品、生鲜品冻品,以屠宰业和肉类加工业为核心，向上游发展饲料业和养殖业，向下游发展包装业、商业，配套发展外贸业、调味品业等。
376,000897,津滨发展,天津津滨发展股份有限公司,天津,天津市,22.54亿,4.85亿,527,1999-04-22,--,,房地产开发,商品销售、房屋租赁、房地产销售、物业管理,房地产开发与销售。
377,000898,鞍钢股份,鞍钢股份有限公司,辽宁,鞍山市,1366.74亿,69.59亿,30412,1997-12-25,--,,普钢,钢压延加工业,黑色金属冶炼及钢压延加工。
378,000899,赣能股份,江西赣能股份有限公司,江西,南昌市,--,--,753,1997-11-26,--,,火电,火力发电、光伏发电,火力、水力发电。
379,000900,现代投资,现代投资股份有限公司,湖南,长沙市,160.99亿,5.97亿,3766,1999-01-28,--,,高速公路,交通运输辅助业、商品贸易,高速公路收费业务。
380,000901,航天科技,航天科技控股集团股份有限公司,黑龙江,哈尔滨市,58.05亿,4061.46万,6372,1999-04-01,--,,仪器仪表,航天制造、汽车电子、仪表制造、环保服务、电力设备制造,航天应用产品、汽车电子产品、车联网及工业物联网、石油仪器设备、电力设备的研发、生产和销售等。
381,000902,新洋丰,新洋丰农业科技股份有限公司,湖北,荆门市,--,--,7262,1999-04-08,--,,复合肥,磷肥、常规复合肥、新型复合肥、现代农业、贸易,磷复肥、新型肥料的研发、生产和销售，以及现代农业产业解决方案提供业务。
382,000903,云内动力,昆明云内动力股份有限公司,云南,昆明市,80.30亿,7492.97万,2644,1999-04-15,--,,汽车零部件,柴油机、电子,发动机业务和工业级电子产品业务。
383,000905,厦门港务,厦门港务发展股份有限公司,福建,厦门市,235.78亿,2.80亿,4907,1999-04-29,--,,港口,散杂货码头装卸、综合物流服务、港口贸易,散杂货码头装卸、综合物流服务和商品贸易。
384,000906,浙商中拓,浙商中拓集团股份有限公司,浙江,杭州市,--,--,1946,1999-07-07,--,,贸易,建筑用材、工业用材、炉料、煤炭焦炭、有色金属、化工产品、其他商品、汽车及相关服务,供应链集成服务。
385,000908,景峰医药,湖南景峰医药股份有限公司,湖南,岳阳市,--,--,2220,1999-02-03,--,,化学制剂,心脑血管领域产品、抗肿瘤领域产品线、骨伤科疾病领域产品、妇儿领域产品、消化系统领域产品、抗感染领域产品、原料药产品,医药产品的研发、制造与销售。
386,000909,数源科技,数源科技股份有限公司,浙江,杭州市,--,--,553,1999-05-07,--,,贸易,电子信息类、房地产类、商贸类,电子信息类产品涵盖智能驾驶辅助设备、新能源充换电设备及运营平台、多媒体显示及自助设备、信息系统集成服务、智慧社区产品及服务等。
387,000910,大亚圣象,大亚圣象家居股份有限公司,江苏,镇江市,87.51亿,6.16亿,7000,1999-06-30,--,,家具制造,人造板、地板,地板和人造板的生产销售。
388,000911,南宁糖业,南宁糖业股份有限公司,广西,南宁市,--,--,3941,1999-05-27,--,,制糖,白砂糖,从事机制糖的生产与销售业务。
389,000912,泸天化,四川泸天化股份有限公司,四川,泸州市,--,--,2987,1999-06-03,--,,氮肥,化肥产品、化工产品,尿素、复合肥等化肥类产品以及液氨、甲醇、二甲醚、液态硝铵、浓硝酸、稀硝酸、四氧化二氮、车用尿素等化工类产品的生产销售。
390,000913,钱江摩托,浙江钱江摩托股份有限公司,浙江,台州市,--,--,4144,1999-05-14,--,,摩托车,摩托车及配件、房地产开发,摩托车、电动车及相关零配件的研发、生产和销售。
391,000915,华特达因,山东华特达因健康股份有限公司,山东,济南市,20.27亿,7.04亿,2774,1999-06-09,--,,化学制剂,医药产品、环保设备及工程、电子信息产品、科技园区管理、教育、晶体材料、道路及建筑材料,医药业务。
392,000917,电广传媒,湖南电广传媒股份有限公司,湖南,长沙市,--,--,2115,1999-03-25,--,,有线电视,广告代理运营、影视节目制作发行、网络传输服务、旅游业、酒店、房地产、艺术品、投资管理、游戏、智能硬件,文旅、投资、传媒游戏业务等。
393,000918,嘉凯城,嘉凯城集团股份有限公司,浙江,杭州市,--,--,2877,1999-07-20,--,,房地产开发,房屋销售、影视放映,房地产开发与销售。
394,000919,金陵药业,金陵药业股份有限公司,江苏,南京市,28.09亿,1.53亿,4865,1999-11-18,--,,化学制剂,中药、化学药品、医疗服务,药品、医疗器械制造和医康养护服务。
395,000920,沃顿科技,沃顿科技股份有限公司,贵州,贵阳市,--,--,1357,1999-06-16,--,,其他化学制品,复合反渗透膜、纳滤膜、超滤膜,膜业务、植物纤维业务、膜分离业务。
396,000921,海信家电,海信家电集团股份有限公司,广东,佛山市,675.63亿,23.43亿,48263,1999-07-13,--,,冰箱、洗衣机、空调,家电制造业,冰箱、中央空调、家用空调、冷柜、洗衣机、商用冷链、厨卫等电器产品的研发、制造和营销。
397,000922,佳电股份,哈尔滨电气集团佳木斯电机股份有限公司,黑龙江,佳木斯市,--,--,1874,1999-06-18,--,,电机,矿用电机、永磁电机、防爆电机、核用电机、屏蔽电机、普通电机、同步电机、起重冶金电机,电机、屏蔽电机电泵制造与维修；电机、防爆电气技术开发、技术服务。
398,000923,河钢资源,河钢资源股份有限公司,河北,石家庄市,--,--,3923,1999-07-14,--,,工程机械,铜产品、磁铁矿、阳极泥、硫酸、推土机、蛭石,铜、铁矿石的开采、加工、销售。
399,000925,众合科技,浙江众合科技股份有限公司,浙江,杭州市,--,--,1469,1999-06-11,--,,轨道交通设备,智慧交通、泛半导体,智慧交通及泛半导体产业。
400,000926,福星股份,湖北福星科技股份有限公司,湖北,武汉市,--,--,3478,1999-06-18,--,,房地产开发,房地产、金属制品,房地产业和金属制品业。
401,000927,中国铁物,中国铁路物资股份有限公司,天津,天津市,591.45亿,10.67亿,4237,1999-07-27,--,,乘用车,油品供应链管理、钢轨供应链管理及运维技术服务、铁路移动装备物资供应、工程建设物资生产制造、工程建设物资集成服务、大宗商品贸易,以面向轨道交通产业为主的物资供应链管理及轨道运维技术服务和工程建设物资生产制造及集成服务。
402,000928,中钢国际,中钢国际工程技术股份有限公司,吉林,吉林市,158.62亿,6.62亿,1881,1999-03-12,--,,专业工程,工程总承包、国内外贸易、服务收入,工程总承包为主的工程技术服务业务、以机电设备及备品备件集成供应为主的国内外贸易业务和以工程设计、咨询为主的服务业务。
403,000929,兰州黄河,兰州黄河企业股份有限公司,甘肃,兰州市,--,--,1148,1999-06-23,--,,啤酒,啤酒、饮料、大麦麦芽,啤酒、麦芽、饮料的生产、加工和销售业务。
404,000930,中粮科技,中粮生物科技股份有限公司,安徽,蚌埠市,--,--,9565,1999-07-12,--,,燃料乙醇,燃料乙醇、食用酒精、淀粉、淀粉糖、柠檬酸、味精,燃料乙醇、食用酒精、淀粉、淀粉糖、柠檬酸、味精及其副产品的生产与销售。
405,000931,中关村,北京中关村科技发展(控股)股份有限公司,北京,北京市,--,--,2306,1999-07-12,--,,综合,生物医药、房地产建筑、物业管理、混凝土,生物医药、个人护理用品、养老服务业务和其他业务。
406,000932,华菱钢铁,湖南华菱钢铁股份有限公司,湖南,长沙市,--,--,23628,1999-08-03,--,,普钢,钢铁、其他,钢材产品的生产和销售。
407,000933,神火股份,河南神火煤电股份有限公司,河南,商丘市,344.52亿,30.48亿,22701,1999-08-31,--,,铝,采掘业、有色金属、电解铝深加工、贸易、房地产、电力、运输,铝产品、煤炭的生产、加工和销售及发供电。
408,000935,四川双马,四川和谐双马股份有限公司,四川,成都市,--,--,382,1999-08-24,--,,水泥,水泥、私募股权投资管理、骨料,建材生产业务、私募股权投资管理业务。
409,000936,华西股份,江苏华西村股份有限公司,江苏,无锡市,--,--,851,1999-08-10,--,,涤纶,纺织化纤、石化物流仓储、投资管理,涤纶化纤的研发、生产和销售，石化物流仓储服务。
410,000937,冀中能源,冀中能源股份有限公司,河北,邢台市,--,--,38063,1999-09-09,--,,煤炭开采洗选,煤炭、电力、建材、化工,煤炭、化工、电力、建材四大板块
411,000938,紫光股份,紫光股份有限公司,北京,北京市,676.38亿,37.92亿,17147,1999-11-04,--,,PC、服务器及硬件,网络设备、服务器、存储产品、云计算与云服务、安全产品及服务、智能终端,提供技术领先的网络、计算、存储、云计算、安全和智能终端等全栈ICT基础设施及服务。
412,000948,南天信息,云南南天电子信息产业股份有限公司,云南,昆明市,--,--,6454,1999-10-14,--,,专用计算机设备,软件和信息技术服务,提供金融行业数字化综合解决方案和服务。
413,000949,新乡化纤,新乡化纤股份有限公司,河南,新乡市,--,--,8786,1999-10-21,--,,粘胶纤维,化学纤维产品,化学纤维产品的生产和销售。
414,000950,重药控股,重药控股股份有限公司,重庆,重庆市,--,--,12498,1999-09-16,--,,氮肥,医药批发、医药零售,医药流通业务。
415,000951,中国重汽,中国重汽集团济南卡车股份有限公司,山东,济南市,560.99亿,16.69亿,7077,1999-11-25,--,,商用车,汽车制造,从事重型载重汽车、重型专用车底盘、车桥等汽车配件的制造及销售业务。
416,000952,广济药业,湖北广济药业股份有限公司,湖北,黄冈市,8.37亿,1.06亿,1317,1999-11-12,--,,化学原料药,原料系列产品、制剂系列产品,维生素原料产品的研发、生产和销售。
417,000953,河化股份,广西河池化工股份有限公司,广西,河池市,--,--,188,1999-12-02,--,,氮肥,医药中间体、尿素,医药中间体的研发、生产与销售业务以及尿素委托加工销售业务。
418,000955,欣龙控股,欣龙控股(集团)股份有限公司,海南,澄迈县,--,--,960,1999-12-09,--,,家纺,水刺产品、无纺深加工产品、热轧及服衬产品、熔纺无纺布、磷化工产品、贸易业务、医疗收入,从事非织造材料、磷化工业务
419,000957,中通客车,中通客车股份有限公司,山东,聊城市,--,--,4583,2000-01-13,--,,商用车,客车制造业,以客车为主兼顾零部件产品的开发、制造和销售。
420,000958,东方能源,国家电投集团东方新能源股份有限公司,河北,石家庄市,--,--,2836,1999-12-23,--,,其他发电,金融业务、能源业务,清洁能源发电及热电联产等业务，还涵盖财务公司、保险经纪、信托、期货、保险等多项金融业务。
421,000959,首钢股份,北京首钢股份有限公司,北京,北京市,--,--,18166,1999-12-16,--,,普钢,冶金,钢铁冶炼、钢压延加工、技术开发、技术咨询、技术转让、技术服务、技术培训。
422,000960,锡业股份,云南锡业股份有限公司,云南,红河哈尼族彝族自治州,--,--,15379,2000-02-21,--,,锡,锡锭、锡材、锡化工、铜产品、锌产品、贸易产品,锡、锌、铜、铟等金属矿的勘探、开采、选矿和冶炼及锡的深加工。
423,000961,中南建设,江苏中南建设集团股份有限公司,江苏,南通市,--,--,46615,2000-03-01,--,,专业工程,房地产开发、建筑施工、酒店,房地产开发和建筑施工。
424,000962,东方钽业,宁夏东方钽业股份有限公司,宁夏,石嘴山市,7.95亿,8895.51万,1122,2000-01-20,--,,其他金属新材料,有色金属材料,稀有金属钽、铌、铍及合金等的研发、生产、销售和进出口业务。
425,000963,华东医药,华东医药股份有限公司,浙江,杭州市,--,--,11359,2000-01-27,--,,医药商业,中药肾病系列、糖尿病系列、免疫抑制剂系列、消化道系列、心脑血管系列,覆盖医药全产业链，以医药工业为主导，同时拓展医药商业和医美产业，集医药研发、生产、经销。
426,000965,天保基建,天津天保基建股份有限公司,天津,天津市,--,--,115,2000-04-06,--,,房地产开发,房地产销售、物业出租、物业管理,房地产开发、物业出租、物业管理等业务。
427,000966,长源电力,国家能源集团长源电力股份有限公司,湖北,武汉市,--,--,3063,2000-03-16,--,,火电,电力、热力,电力、热力生产和经营。
428,000967,盈峰环境,盈峰环境科技集团股份有限公司,浙江,绍兴市,--,--,8725,2000-03-30,--,,电工机械制造,传统环卫装备、新能源环卫装备、环卫服务,以“智慧环卫”为核心，为客户在城乡保洁消毒、生活垃圾分类、固废垃圾清扫运处、环卫人员管理、餐厨垃圾收运、渣土运输监管、渗滤液处理、智慧城市建设等领域提供全新维度的全生命周期物联网集成应用解决方案和智慧平台运营服务。
429,000968,蓝焰控股,山西蓝焰控股股份有限公司,山西,太原市,--,--,2068,2000-06-22,--,,煤炭开采洗选,煤层气(煤矿瓦斯),煤矿瓦斯治理及煤层气勘探、开发与利用业务。
430,000969,安泰科技,安泰科技股份有限公司,北京,北京市,62.72亿,2.61亿,5566,2000-05-29,--,,其他金属新材料,高端粉末冶金材料及制品产业、先进功能材料及器件产业,先进金属材料的研发、生产与销售，包括能源用先进材料及制品，特种材料制品及装备，超硬材料及工具三个领域。
431,000970,中科三环,北京中科三环高技术股份有限公司,北京,北京市,71.46亿,4.77亿,5537,2000-04-20,--,,磁性材料,钕铁硼永磁材料、电动自行车,稀土永磁材料和新型磁性材料及其应用产品的研究开发、生产和销售。
432,000971,ST高升,高升控股股份有限公司,湖北,仙桃市,--,--,822,2000-04-27,--,,云服务(含IDC、CDN),网络通信服务、虚拟专用网服务、通信网络建设技术服务,以IDC(互联网数据中心)、CDN(内容分发网络)、APM(应用性能管理)为主的互联网基础云服务。
433,000972,*ST中基,中基健康产业股份有限公司,新疆,五家渠市,1.74亿,-1.01亿,149,2000-09-26,--,,番茄加工,大桶番茄酱、番茄红素胶囊、租赁服务,大包装浓缩番茄酱；去皮番茄和番茄丁、小罐番茄制品；番茄红素胶囊、番茄纤维片生产及销售。
434,000973,佛塑科技,佛山佛塑科技集团股份有限公司,广东,佛山市,24.57亿,1.61亿,3153,2000-05-25,--,,塑料制品,渗析材料、光电材料、阻隔材料,从事各类先进高分子新材料的生产与销售。
435,000975,银泰黄金,银泰黄金股份有限公司,内蒙古,锡林郭勒盟,--,--,1566,2000-06-08,--,,铅锌,有色金属矿采选业、金属商品贸易,贵金属和有色金属矿采选及金属贸易。
436,000976,华铁股份,广东华铁通达高铁装备股份有限公司,广东,江门市,--,--,876,2000-06-01,--,,轨道交通设备,高铁配件产品,轨道交通装备制造。
437,000977,浪潮信息,浪潮电子信息产业股份有限公司,山东,济南市,--,--,7131,2000-06-08,--,,PC、服务器及硬件,服务器及部件、IT终端及散件,服务器等云计算基础设施产品的研发、生产、销售。
438,000978,桂林旅游,桂林旅游股份有限公司,广西,桂林市,2.39亿,-2.34亿,2205,2000-05-18,--,,景区,旅游服务业,游船客运、景区旅游业务、酒店、公路旅行客运、出租车业务等。
439,000980,*ST众泰,众泰汽车股份有限公司,浙江,金华市,--,--,2143,2000-06-16,--,,乘用车,交通运输设备、门业产品,汽车整车研发、制造及销售。
440,000981,*ST银亿,银亿股份有限公司,甘肃,兰州市,--,--,10973,2000-06-22,--,,房地产开发,汽车零部件、房产销售、物业管理,高端制造业和房地产业。
441,000982,中银绒业,宁夏中银绒业股份有限公司,宁夏,银川市,4.33亿,4126.77万,177,2000-07-06,--,,纺织面料,纺织品,羊绒和羊绒制品贸易，并通过并购进入新能源锂电池正负极材料生产和销售。
442,000983,山西焦煤,山西焦煤能源集团股份有限公司,山西,太原市,--,--,33152,2000-07-26,--,,煤炭开采洗选,煤炭、电力热力、焦炭及化工产品,煤炭的生产、洗选加工、销售及发供电，矿山开发设计施工、矿用及电力器材生产经营等。
443,000985,大庆华科,大庆华科股份有限公司,黑龙江,大庆市,--,--,596,2000-07-26,--,,其他化学制品,化工、药品,石油化工产品的生产和销售，同时还包括进出口业务、仓储保管服务等其它业务。
444,000987,越秀金控,广州越秀金融控股集团股份有限公司,广东,广州市,133.14亿,33.30亿,1097,2000-07-18,--,,其他非银行金融,不良资产管理、投资管理、融资租赁、期货,不良资产管理、融资租赁、私募基金管理和资本投资等业务。
445,000988,华工科技,华工科技产业股份有限公司,湖北,武汉市,101.67亿,7.48亿,8270,2000-06-08,--,,电子零部件,激光加工及系列成套设备、光电器件系列产品、激光全息防伪系列产品、敏感元器件,激光技术及其应用
446,000989,九芝堂,九芝堂股份有限公司,湖南,长沙市,--,--,4552,2000-06-28,--,,中药生产,中成药、西成药、生物药品,中药研发、生产和销售等业务为核心，逐步探索布局干细胞、中医医疗健康服务、药食同源系列产品等创新业务。
447,000990,诚志股份,诚志股份有限公司,江西,南昌市,--,--,4469,2000-07-06,--,,其他化学制品,工业气体产品、液体化学产品,"工业气体及基础化工原料的综合运营,半导体显示材料的生产,销售生命科技产品的生产和销售以及工业大麻的种植,研究,加工及其产品的销售。"
448,000993,闽东电力,福建闽东电力股份有限公司,福建,宁德市,5.83亿,1.18亿,1702,2000-07-31,--,,水电,电力销售、商品房销售（住宅）、贸易业务,电力生产与开发。
449,000995,皇台酒业,甘肃皇台酒业股份有限公司,甘肃,武威市,--,--,388,2000-08-07,--,,白酒,粮食白酒、葡萄酒、鲜葡萄、葡萄原汁,白酒酿造与销售；葡萄酒酿造与销售；酿酒葡萄种植。
450,000996,中国中期,中国中期投资股份有限公司,北京,北京市,--,--,67,2000-07-18,--,,汽车服务,汽车服务业务、零售业务、基金业务,汽车服务业务。
451,000997,新大陆,新大陆数字技术股份有限公司,福建,福州市,--,--,6570,2000-08-07,--,,专用计算机设备,制造业、服务业,通过商户服务平台，为商户提供第三方支付服务、金融服务等商户综合运用服务；为电子支付行业和信息识别行业客户提供终端产品和系统解决方案；为移动通信行业和高速公路行业客户提供软件和系统开发等信息化服务。
452,000998,隆平高科,袁隆平农业高科技股份有限公司,湖南,长沙市,--,--,2763,2000-12-11,--,,种子,水稻种子、玉米种子,农作物高科技种子及种苗的研发、繁育、推广及服务。
453,000999,华润三九,华润三九医药股份有限公司,广东,深圳市,153.20亿,20.81亿,15420,2000-03-09,--,,中药生产,医药产品,医药产品的研发、生产、销售及相关健康服务。
454,001201,东瑞股份,东瑞食品集团股份有限公司,广东,河源市,--,--,837,2021-04-28,--,,--,生猪类产品、饲料类产品,生猪的养殖和销售。
455,001202,炬申股份,广东炬申物流股份有限公司,广东,佛山市,--,--,292,2021-04-29,--,,--,运输业务、仓储综合业务,为客户提供有色金属的运输服务（包括自有运输服务和货运代理服务）、仓储及其增值服务等综合物流服务。
456,001203,大中矿业,内蒙古大中矿业股份有限公司,内蒙古,巴彦淖尔市,48.95亿,16.25亿,3149,2021-05-10,--,,--,铁精粉、球团,铁矿石采选、铁精粉和球团生产销售、副产品机制砂石的加工销售。
457,001205,盛航股份,南京盛航海运股份有限公司,江苏,南京市,6.13亿,1.30亿,462,2021-05-13,--,,--,化学品运输业务、油品运输业务,从事国内沿海、长江中下游液体化学品、成品油水上运输业务。
458,001206,依依股份,天津市依依卫生用品股份有限公司,天津,天津市,--,--,1138,2021-05-18,--,,--,卫生护理用品、无纺布,一次性卫生护理用品及无纺布的研发、生产和销售。
459,001207,联科科技,山东联科科技股份有限公司,山东,潍坊市,--,--,556,2021-06-23,--,,--,二氧化硅、炭黑、硅酸钠,从事二氧化硅和炭黑的研发、生产与销售。
460,001208,华菱线缆,湖南华菱线缆股份有限公司,湖南,湘潭市,--,--,592,2021-06-24,--,,--,电缆,电线电缆的研发、生产及销售。
